Date,Open,High,Low,Close,Volume,Volatility,Jump
1977-03-11,1.0,1.0046304311253353,0.9975043991368822,1.0,1011665,0.2,0.0
1977-03-14,1.0,1.004164260780443,0.9814701921462949,0.9989422782648015,1090034,0.1996859660100668,0.0
1977-03-15,0.9989422782648015,0.9960869213721599,0.9869792889460417,0.9950619149796535,1079544,0.1951154118414481,0.0
1977-03-16,0.9950619149796535,1.0062372379440132,0.9947974711162761,0.9986040728944761,891680,0.2076369227354317,0.0
1977-03-17,0.9986040728944761,1.0083422608608523,0.9794438358497333,0.9943346000596358,905500,0.20297899053349805,0.0
1977-03-18,0.9943346000596358,0.9914959880531122,0.9605684881883466,0.9788648347825765,869109,0.1896517867001108,0.0
1977-03-21,0.9788648347825765,1.0061641017841922,0.9723923617536694,0.9881518933041663,1083027,0.1980523821213248,0.0
1977-03-22,0.9881518933041663,1.028482187795853,1.0044751722764296,1.0165275359209183,968097,0.21111429346603414,0.0
1977-03-23,1.0165275359209183,1.0083877493474505,0.9901494245457585,1.0018518107485732,1003558,0.2049876984056471,0.0
1977-03-24,1.0018518107485732,1.0323549826792437,1.0089266397970733,1.0211412338354835,852987,0.21306119722668695,0.0
1977-03-25,1.0211412338354835,1.0249660482461442,1.0047019653309723,1.0118070390471252,974101,0.2086550749349073,0.0
1977-03-28,1.0118070390471252,1.0242299837388247,0.9896058628021679,1.0075514524958715,1157442,0.21737543059030404,0.0
1977-03-29,1.0075514524958715,1.0300649166487637,1.003128463294636,1.0202478804202768,877706,0.21559922693522915,0.0
1977-03-30,1.0202478804202768,1.005710079832878,0.9983131579004175,1.002796043170308,1054732,0.21352016404456473,0.0
1977-03-31,1.002796043170308,1.009730947285814,0.9764466421003577,0.994787062785867,889558,0.2028979745590697,0.0
1977-04-01,0.994787062785867,0.9983473852681274,0.9774877550108627,0.9797716351835201,995755,0.20152791824043578,0.0
1977-04-04,0.9797716351835201,0.9771357087199054,0.9528430060867543,0.9700584073218685,1030738,0.18504048227381498,0.0
1977-04-05,0.9700584073218685,0.9857112947821397,0.9695921699563249,0.9752217188924613,931355,0.17903710589338862,0.0
1977-04-06,0.9752217188924613,0.9765372070356958,0.9677388796600365,0.9722762834490678,997993,0.18484136775054122,0.0
