Date,Open,High,Low,Close,Volume
1977-03-11,45.29321854311194,45.730003013522456,44.81877923383537,45.29321854311194,519416
1977-03-14,45.29321854311194,47.144408028603515,45.29321854311194,46.69465890346983,587848
1977-03-15,46.69465890346983,47.40249582539826,46.69465890346983,47.11449736263727,422347
1977-03-16,47.11449736263727,47.11449736263727,46.03247934142852,46.49331198972763,460351
1977-03-17,46.49331198972763,46.95384209287473,46.49331198972763,46.90074729280618,656082
1977-03-18,46.90074729280618,46.90074729280618,45.71167957023105,45.86332633741822,466529
1977-03-21,45.86332633741822,45.86332633741822,44.00015930875013,44.34004110115373,582323
1977-03-22,44.34004110115373,44.716486496486084,43.95335506007995,44.06570776559611,430594
1977-03-23,44.06570776559611,44.758928471432746,43.973878553218846,44.59278238697627,583203
1977-03-24,44.59278238697627,46.544895916243526,44.59278238697627,46.22093194338757,522767
1977-03-25,46.22093194338757,46.387540779706285,45.60772004215351,45.99410244822622,634755
1977-03-28,45.99410244822622,45.99410244822622,44.76309319177102,44.96684196835111,612532
1977-03-29,44.96684196835111,46.74658491870991,44.96684196835111,46.49596943037216,562550
1977-03-30,46.49596943037216,46.96901302322411,46.49596943037216,46.88368474015029,527316
1977-03-31,46.88368474015029,48.03431373316302,46.88368474015029,47.460346534850935,488615
1977-04-01,47.460346534850935,47.91003102144242,47.460346534850935,47.80828951767378,453347
1977-04-04,47.80828951767378,48.32338155657785,47.59705407261162,48.000785617491154,549402
1977-04-05,48.000785617491154,48.000785617491154,46.52974171632498,46.871833227776236,446781
1977-04-06,46.871833227776236,49.01100541911951,46.871833227776236,48.8084853110826,500141
1977-04-07,48.8084853110826,48.8084853110826,47.4498114931212,47.58467595905747,536276
1977-04-08,47.58467595905747,48.19865249587628,47.07672366141881,47.66889864400072,498887
1977-04-11,47.66889864400072,48.02143717400449,47.58587847097224,47.660544525543244,493396
1977-04-12,47.660544525543244,49.76855345218598,47.660544525543244,49.27771823692446,502390
1977-04-13,49.27771823692446,49.27771823692446,48.82325946167016,48.84814876201068,414054
1977-04-14,48.84814876201068,50.07491800198888,48.84814876201068,49.44136240324994,530632
1977-04-15,49.44136240324994,49.709778352728826,48.753827200210594,49.23493589279705,573669
1977-04-18,49.23493589279705,49.23493589279705,47.43243067187098,48.091949453156545,519679
1977-04-19,48.091949453156545,48.091949453156545,45.45474197979781,45.807568056638125,403007
1977-04-20,45.807568056638125,45.85768261510674,45.44086613736693,45.74881986298298,457302
1977-04-21,45.74881986298298,46.962649170544815,45.74881986298298,46.40674793330973,662191
1977-04-22,46.40674793330973,46.40674793330973,45.697875131015245,45.91379113050084,499750
1977-04-25,45.91379113050084,46.547702551060276,45.91333070998532,46.33945893078909,479528
1977-04-26,46.33945893078909,48.251177530928686,46.33945893078909,47.587561950622515,540587
1977-04-27,47.587561950622515,49.90659048456466,47.587561950622515,49.70026554485102,659678
1977-04-28,49.70026554485102,49.70026554485102,47.83508632664481,47.92712561816588,508736
1977-04-29,47.92712561816588,49.834885037476845,47.92712561816588,49.425117023532806,510585
1977-05-02,49.425117023532806,51.06764478024769,49.425117023532806,50.42365837219274,496372
1977-05-03,50.42365837219274,50.481004352018545,49.54692128322575,50.18422891446641,581742
1977-05-04,50.18422891446641,50.18422891446641,49.72700246184348,50.03153294918308,493099
1977-05-05,50.03153294918308,51.268879500436846,50.03153294918308,51.18809649530688,587877
1977-05-06,51.18809649530688,51.38724721356195,50.65206270471783,51.338990293927196,480650
1977-05-09,51.338990293927196,51.338990293927196,50.076547633057466,50.71214581676126,461214
1977-05-10,50.71214581676126,54.71318096223252,50.71214581676126,54.556229462348185,531692
1977-05-11,54.556229462348185,58.77182114661719,54.556229462348185,58.51181824912582,496684
1977-05-12,58.51181824912582,58.51181824912582,55.64636946612803,56.02393658669203,334251
1977-05-13,56.02393658669203,57.39968658541366,56.02393658669203,56.67840342585584,485558
